,HIP,Sn,So,Nc,RArad,e_RArad,DErad,e_DErad,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Ntr,F2,F1,var,Hpmag,e_Hpmag,sHp,VA,bv,e_BV,VI,hip2_oid,ic,UW
20,HIP_25336,7,0,1,1.418652196,0.53,0.110823775,0.25,12.93,0.52,-8.08,0.49,-12.88,0.35,51,5.18,0,0.0,1.5493,0.0008,0.006,0,-0.224,0.008,-0.22,25271,272,"4.71,-0.90,8.34,-1.70,0.56,3.92,0.39,0.01,-0.26,3.76,-0.05,-3.53,1.89,-2.62,6.17"
21,HIP_25428,5,0,1,1.423715831,0.3,0.499301587,0.17,24.37,0.33,22.74,0.41,-173.59,0.18,64,6.2,1,0.0,1.6151,0.0006,0.004,0,-0.13,0.002,-0.09,25362,0,"5.81,-0.22,9.76,-1.38,0.82,5.04,1.30,-0.45,-0.99,3.95,-0.81,-0.09,1.01,-0.49,8.93"
22,HIP_25606,5,0,1,1.432240913,0.11,-0.362316949,0.12,20.34,0.18,-5.01,0.18,-86.03,0.17,102,0.17,0,0.0,2.9674,0.0005,0.004,0,0.807,0.027,0.86,25540,0,"9.36,0.17,8.70,-1.25,1.22,6.06,2.23,0.26,-2.65,5.85,0.28,1.63,-0.06,-1.15,5.82"
23,HIP_25930,55,3,2,1.448652348,0.46,-0.005220165,0.26,4.72,0.58,0.64,0.56,-0.69,0.27,112,21.7,0,0.0,2.1361,0.0017,0.03,1,-0.175,0.003,-0.21,25863,0,"7.17,-1.19,12.49,-1.38,-0.28,5.32,-0.10,2.95,-1.78,4.97,5.16,-0.80,2.84,-0.36,10.48"
24,HIP_25985,5,0,1,1.451809519,0.08,-0.311057678,0.09,1.47,0.15,3.56,0.12,1.18,0.11,160,-0.14,3,0.0,2.6426,0.0005,0.005,0,0.211,0.008,0.32,25918,0,"12.79,0.22,11.66,-0.89,0.76,6.94,1.79,0.53,0.05,8.14,0.52,0.72,2.10,-0.40,8.77"
25,HIP_26241,5,0,1,1.463602646,0.18,-0.103147211,0.12,1.4,0.22,1.42,0.21,-0.47,0.13,89,2.6,2,0.0,2.6706,0.0008,0.006,0,-0.21,0.004,-0.22,26174,0,"7.43,-0.47,11.14,-1.59,1.24,5.60,-0.35,2.56,-0.78,5.64,3.87,0.32,1.29,0.09,9.54"
26,HIP_26311,5,0,1,1.467008323,0.33,-0.020977413,0.19,1.65,0.44,1.47,0.41,-0.78,0.19,110,14.92,0,0.0,1.6235,0.0017,0.013,2,-0.184,0.008,-0.16,26244,0,"7.90,-3.77,13.20,-1.03,-0.22,5.61,-0.09,3.20,-2.26,5.36,5.39,-2.03,4.71,-2.01,11.28"
27,HIP_26451,5,5,1,1.473253097,0.72,0.369007858,0.5,7.32,0.82,1.78,0.87,-20.06,0.64,56,22.38,0,0.0,2.9184,0.0118,0.055,2,-0.148,0.009,-0.15,26384,0,"6.16,-1.55,8.53,-2.46,1.70,4.83,0.67,-1.00,-0.02,5.02,-1.56,1.56,-1.01,-3.17,6.05"
28,HIP_26634,7,0,1,1.481998332,0.24,-0.594704351,0.34,12.48,0.37,1.58,0.28,-24.84,0.51,125,22.85,0,0.0,2.6124,0.0005,0.005,0,-0.12,0.001,-0.07,26567,288,"12.22,0.57,9.52,-1.54,1.65,8.16,2.30,0.68,-2.57,11.23,0.64,2.55,-0.48,1.00,7.77"
29,HIP_26727,15,3,2,1.486840521,0.52,-0.033904391,0.25,4.44,0.64,3.12,0.6,2.06,0.26,102,21.33,0,0.0,1.6812,0.0011,0.009,0,-0.199,0.022,-0.18,26660,0,"6.73,-2.82,12.67,-1.55,-0.07,5.09,0.82,2.47,-1.24,4.97,4.30,-2.37,6.07,-2.88,10.97"
30,HIP_27366,5,0,1,1.517373833,0.18,-0.168766389,0.14,5.04,0.22,1.46,0.18,-1.3,0.14,91,2.96,3,0.0,2.0065,0.002,0.014,2,-0.168,0.027,-0.14,27296,0,"8.43,-2.01,10.46,-1.50,0.43,5.69,0.89,3.79,-0.91,7.18,4.48,1.28,2.38,-2.39,9.11"
31,HIP_27628,5,0,1,1.531348455,0.09,-0.62429192,0.09,37.42,0.12,54.77,0.1,404.19,0.11,119,-1.46,0,0.0,3.2833,0.0004,0.004,0,1.146,0.052,1.1,27557,0,"10.50,0.79,9.99,-2.61,0.45,7.85,0.89,0.38,-2.26,8.96,0.43,0.81,0.97,0.84,8.33"
32,HIP_27989,1,2,1,1.54972796,0.71,0.129277175,0.58,6.56,0.83,27.54,1.03,11.32,0.65,66,-0.1,1,2.4,0.4997,0.0234,0.109,2,1.5,0.51,2.32,27917,0,"1.69,0.34,2.77,-0.38,0.49,1.35,0.69,0.11,-0.32,0.97,0.32,1.58,-0.57,-0.23,1.51"
